"","num.predictors","AIC","model"
"109",27,3271.14116735585,"deaths  ~  yod + dep + dhb + bw + eth + offset(log(1+pop))"
"110",26,3506.49265978218,"deaths  ~  yod + dep + dhb + bw + pop + offset(log(1+pop))"
"111",20,3452.60208583611,"deaths  ~  yod + dep + dhb + eth + pop + offset(log(1+pop))"
"112",25,3263.64638816788,"deaths  ~  yod + dep + bw + eth + pop + offset(log(1+pop))"
"113",27,3299.04602112819,"deaths  ~  yod + dhb + bw + eth + pop + offset(log(1+pop))"
"114",16,3250.64161223362,"deaths  ~  sex + dep + dhb + bw + eth + offset(log(1+pop))"
"115",15,3485.59778832112,"deaths  ~  sex + dep + dhb + bw + pop + offset(log(1+pop))"
"116",9,3438.25791079484,"deaths  ~  sex + dep + dhb + eth + pop + offset(log(1+pop))"
"117",14,3243.23196949245,"deaths  ~  sex + dep + bw + eth + pop + offset(log(1+pop))"
"118",16,3278.91428321355,"deaths  ~  sex + dhb + bw + eth + pop + offset(log(1+pop))"
"119",16,3264.9458514775,"deaths  ~  dep + dhb + bw + eth + pop + offset(log(1+pop))"
"120",28,3253.74762390159,"deaths  ~  yod + sex + dep + dhb + bw + eth + offset(log(1+pop))"
"121",27,3490.64248471185,"deaths  ~  yod + sex + dep + dhb + bw + pop + offset(log(1+pop))"
"122",21,3442.5027856708,"deaths  ~  yod + sex + dep + dhb + eth + pop + offset(log(1+pop))"
"123",26,3246.37373304773,"deaths  ~  yod + sex + dep + bw + eth + pop + offset(log(1+pop))"
"124",28,3282.18335780689,"deaths  ~  yod + sex + dhb + bw + eth + pop + offset(log(1+pop))"
"125",28,3268.10263620766,"deaths  ~  yod + dep + dhb + bw + eth + pop + offset(log(1+pop))"
"126",17,3247.77560785894,"deaths  ~  sex + dep + dhb + bw + eth + pop + offset(log(1+pop))"
"127",29,3250.89978137207,"deaths  ~  yod + sex + dep + dhb + bw + eth + pop + offset(log(1+pop))"
